data,assunto,veiculo,link,eixo_institucional,abrangencia,campus
2023-12-30,IF Baiano abre seleção com 241 vagas de graduação em Guanambi,Notícias de Bom Jesus da Lapa,https://news.google.com/rss/articles/CBMisAFBVV95cUxOcVcxc2lDa20yMHFGTDlEVndaT3FCSXU3SEJzN25GQzJaZkpJbWl1TWx1VGRESFZIUko3cHlpX1c5NUN4MFRrWVNEMHNSSkVTVEl4TThUUVFkWjFxOHJKX0c5UkgxbWxFYlNDY19WRWJST0x4ZG9IUU96Q05oLWpOTmpzUE5TTjJKUGo2Z3VUbjdEZjNjM3FHeVk0c0EtRWl1MlZUZEdaNERwTUZnQ21UQw?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Bom Jesus da Lapa
2023-12-27,Alunos do IF Baiano realizam curso “Plantando Água” em Teixeira de Freitas,SulBahiaNews,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNejAtSFZMNmtwb284OHEwU0s1YUNpNFRmSVZLOEV0WDZobnFYczdZa2J6THh0Y3BjZnNUN2NNWlRrRFFaaWV3N19HSy14Q2lQRThUcW5tTkNrN0xHTnRZdUZoVGpyV3NWeHAzSktlSEoyT3h2eWQ3U3RnVDhsRnh3TzRNVjI0Ni02TU9BdUFyNDNOZFRvMjY5TER0OS11bjFpR1o0WHowU2M?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Imprensa Local,Teixeira de Freitas
2023-12-26,"Com até 41ºC, cidades baianas voltaram a registrar temperaturas mais altas do Brasil no Natal",Agência Sertão,https://news.google.com/rss/articles/CBMixAFBVV95cUxObzAzdmdpaFN3azYxejR1b0MtblpkeFYxdVFFcWwtYWtnelIxMnMwam11cV9SNWhPckE5SUFsYkhCUmV2ejdMejBWbXVsTGNKdmx1V1l6bGhMX3l0QXJoT01nSnljdWE3R2hxZ1J6V0JqRExTVjduNmtwNFRBejZSTkRRc0R1VUJKV3EtU084eklyb2UwWDUzVms3SzBHQlVsbkg3ZkZkZWI3RVhtcHVQSE5PckQzRC1ySDEtcGYzQy1wRnA50gHEAUFVX3lxTE5vMDN2Z2loU3drNjF6NHVvQy1uWmR4VjF1UUVxbC1ha2d6UjEyczBqbXVxX1I1aE9yQTlJQWxiSEJSZXZ6N0x6MFZtdWxMY0p2bHVXWXpsaExfeXRBcmhPTWdKeWN1YTdHaHFnUnpXQmpETFNWN242a3A0VEF6NlJORFFzRHVVQkpXcS1TTzh6SXJvZTBYNTNWazdLMEdCVWxuSDdmRmRlYjdFWG1wdVBITk9yRDNELXJIMS1wZjNDLXBGcDk?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Geral / Não Especificado
2023-12-21,"Com trabalho e investimento na Educação, 42 alunos da rede municipal estão aprovados no IFBA - Prefeitura Municipal de Vitória da Conquista",Prefeitura Municipal de Vitória da Conquista - PMVC,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNUWVYclQtTnZ5WlJKMC1LNHJSdDQxNjdSWkFMQUVCZmZmOGx1WXBCcjVxUnZJZ0Vaa0RkclhnUlVWb0pHOUpOa1lzZk5Qb0d5MW5CTVNIdEVmalpabVFPNE9SUVlOeFVqcERlc1dqRGlwaHFPbnVmRkdsYks3R2FBNWxHN2JHSFlQLUR2R2kzLTVCTTlRNnhrcWJKWXRqdHp5dWc1Zi1OdV9kZkIwaGpLSi11Wm9JTkJzeGhV?oc=5&hl=en-US&gl=US&ceid=US:en,Ensino,Institucional / Governamental,Geral / Não Especificado
2023-12-20,"Com bolsa de R$ 1.125,69, IF Baiano anuncia vaga de estágio; saiba mais",Jornal Correio,https://news.google.com/rss/articles/CBMi8wFBVV95cUxNZExoQU1vWFEzbUhOUldaSWVHU1B1RW92bnRfaEwzYk4yLVExc1VPMDBWaUlVWXFuZFhzX2s1SGtzcEFmbDdrNG1sWFdpa2Z6cTc4RHVaV3ZvUDRMVV9IZWV3TmxZYXlqam1iN3NBM3VMOGNRdjFNU2hMT3o1NWFHell1aXRVTEpTMC00NDcxcHN5SXNUU2JZaWJwM1ZLR2hCR0ZvenN0LUtOX1RON0w2OWZVV3Z1NTBaYmVJVk9Ea1JSbTZ6RmRSb0hFd0pxYTVQRmNCUXBFWmdKLXlQV0ZGRHRpekVySk5BdUJqekVKaExzRjg?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Regional (Bahia),Geral / Não Especificado
2023-12-17,Campus do IF Baiano de Guanambi oferta 10 vagas para Mestrado em Produção Vegetal no Semiárido,Notícias da Lapa,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQY3pHVFFKd2I4c0pBYUpXbGFqOHhXcUkzVlBjcWRaQmhyQVNEeTZCSDBMaXpueTZqUzZPbHRySDc1c2x0aVJ1UG44LUtCUXNLamRmV2dvZGFWZlk1TzBfcFlrTTR5QXA0c2xaWlhyb1ZYSWpjNDBmSmhnSXRzcUYyY3E4SmlhcVRCaWVZbkdyYTVyYm16NklBSkt3aVFPZW9jcFJPOHRRUDRnXy1hajRPYUJjdFdjZEotZHMzMkstRURHM21kWm5qWlF1NUtlc1AxRzFEUXJUVTl3UnM0?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Bom Jesus da Lapa
2023-12-15,Projeto do IF Baiano transforma aparelhos de TV Box apreendidos em computadores para escolas públicas,Agência Sertão,https://agenciasertao.com/2023/12/15/projeto-do-if-baiano-transforma-aparelhos-de-tv-box-apreendidos-pela-receita-federal-em-computadores-para-escolas-publicas/,Extensão,Imprensa Local,Geral / Não Especificado
2023-12-13,Edital IF Baiano SAIU! São 96 vagas; CONFIRA,Blog Gran Cursos Online,https://news.google.com/rss/articles/CBMihAFBVV95cUxOMklzTmtnS2R3dy1URzhhemNuOFNKQlJpNTVHb0VXTGlFUkxHS01vaDd2bWdkandmV25HTGVHc3g5OVREN19wSVJPN0FXbDUyOU1tRkhoOC02Z1JtWjgxQTJINlFYWnZ5VDQ0bzRkVHVkY0UzQmxOeTZ4TlVsRTlLLTkyZHo?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Especializados (Nichos),Geral / Não Especificado
2023-12-13,"Edital IF Baiano publicado; 96 vagas com iniciais de até R$ 4.875,18",Direção Concursos,https://news.google.com/rss/articles/CBMihwFBVV95cUxPZ29QblJyOHpfLWdzczF2cDgxWC1WcER0SGthdHVudGRqd21pN1R5VElCbkJpSjNONXJUTnBOcWNjeHVHOGJSZHUzdWE3TlpoUmJheFVnaGlQYmlxdnM5SU1neGRLcUgtY2FGczE2VElOYXhNUzY3NnlRcVVMS3pZOFZ0TU92TUE?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Especializados (Nichos),Geral / Não Especificado
2023-12-13,IF Baiano: Campus Teixeira de Freitas oferta 600 vagas em cursos técnicos subsequentes (EAD),SulBahiaNews,https://news.google.com/rss/articles/CBMivwFBVV95cUxQckZDVVd0Ym94Y0xkVFFiVFlXRHd6RE5xWUVkY2sxaFhIN20xT1VmSUtjQ2VLSlFaNk5BTTVPVXhwSy16bmU4Y0c0bGhOUVlnQ1R1UC1jWGFJZ250dTVRNjZJME9QMV94YzRKQWdWNFFwdEhXdTBTTnZSVEYwSUNaWlNCSlRuREdSRDk4VEdhYTkxVDJpSGlZWkNrLU1ZRENqRXJsSUJPZ1hJaE1jcEdlcWRRWEg1cHUxLW94VnpXMA?oc=5&hl=en-US&gl=US&ceid=US:en,Gestão e RH,Imprensa Local,Teixeira de Freitas
