data,assunto,veiculo,link,eixo_institucional,abrangencia,campus
2021-12-28,Apoio enchentes Bahia,Portal IFRN,https://portal.ifrn.edu.br/campus/reitoria/noticias/nota-de-solidariedade-as-vitimas-da-enchente-no-sul-e-sudoeste-baiano,Institucional,Imprensa Local,Geral / Não Especificado
2021-12-28,Nota de solidariedade às vítimas da enchente no sul e sudoeste baiano,IFRN,https://news.google.com/rss/articles/CBMivwFBVV95cUxNU2pmNXpMVEd6T0FuZHZva3hlbzloSFpSNkc2YkVTM29ScTZMcnJNSWhBRUhTS3NMN0dRYUpvRXRXQkZqUFpPY1FmYXN4TFotSTBteDgtSmlDSU5lMmU5aDI2dWZIV0U1TXVHalVhT1kxY1NCZXJUbmJwNFJCMUVKbXUtNFl3Vk9YQ2VGRlNoM3V6bzNRTnBJUW1MZm5XTjI1aTFKcjM1bXV5OXdJOUtWOE96eTNnQV8zWmYyTW5xYw?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Geral / Não Especificado
2021-12-21,Pitágoras de Bom Jesus da Lapa é reconhecida com o selo: “Instituição Socialmente Responsável”,Notícias da Lapa,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNRGxNd1l2bC1fZFNHd1BiM3RicElFXzlpVlFSRG1mQ2s1b19NbW9qOTR5SmZNdF8xRzROeW1Va0EwX2xYVC1VWG0xS2J5bW1IaEZXWllUakJYMFdueDVlUjdTZXFYd1NSbVpBWWk3X0g0N1NmMTNlVnRoZGdwSWtRaDJLYWtuMXpVMVQ3UmRuU1RXMzZlcjVrdWFsajcxeTR6NGpUVUNZb01xell4cjhtd3J0TW5UaW9Ydmdab3F2cjZLR25MclVOWWRvS3FUY3FEM0JHajh2dlIzNTJUeWxuOXlwWEU4MlE?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Bom Jesus da Lapa
2021-12-21,Cooperação Técnica entre Prefeitura de Alagoinhas e Campus Catu,Prefeitura de Alagoinhas,https://www.alagoinhas.ba.gov.br/index.php/termo-de-cooperacao-tecnica-entre-a-prefeitura-de-alagoinhas-e-if-baiano-de-catu-vai-garantir-analise-do-solo-e-assessoria-tecnica-para-agricultores-familiares-do-municipio/,Institucional,Institucional / Governamental,Alagoinhas
2021-12-21,Bom Jesus da Lapa: Marinha do Brasil inicia Operação Verão e intensifica fiscalização na região oeste,Notícias de Bom Jesus da Lapa,https://news.google.com/rss/articles/CBMi8wFBVV95cUxPdFNRbEJGU25aXzAtVDB4Q1dpTldKZXhrbVQwbG1UaDJaeDFpT1FiTVROdHkwM09mbTJ2aGpvdmJ1RzhGSGs4TXVSUmFxTENtdXZtd0pFQkJYbThMRUVaQmotcWsyaUVyLUMyM2U5SjFCbnZKVkRYVXdxQVMzZF9Sb1BiTFFQdDcyeDRxazd0Q1V6eEZXdFI4RjNIV21ETVZ3QzV5SjBvZERKQ1lNaWtqcGhfZXpIVHBDelRHM0NyWW5MRmZhRk5kaHdMdjVkNzQzTVZtdk4yaTh4VVZucE15N292cTJhOV91VTR4Vy1GRXZaZ2c?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Imprensa Local,Bom Jesus da Lapa
2021-12-21,Vagas remanescentes \- Campus Sr do Bonfim,Bonfim Notícias,http://bonfimnoticias.com/site/2021/12/21/if-baiano-campus-de-sr-do-bonfim-abre-inscricoes-para-vagas-remanescentes-ate-19-de-janeiro-confira/,Gestão e RH,Imprensa Local,Senhor do Bonfim
2021-12-18,Eleições IF Baiano,Tribuna Popular,https://www.tribunapopulargbi.com.br/noticia/4345/carlito-barros-foi-reeleito-diretor-do-if-baiano-campus-guanambi,Institucional,Imprensa Local,Geral / Não Especificado
2021-12-18,Eleições IF Baiano,iguanambi,https://www.iguanambi.com.br/noticias/2021/12/18/carlito-foi-reeleito-diretor-do-if-baiano-campus-guanambi/,Institucional,Imprensa Local,Guanambi
2021-12-16,2ª Feira Municipal da Agricultura Familiar reunirá cerca de 50 expositores,Prefeitura de Alagoinhas,https://news.google.com/rss/articles/CBMiugFBVV95cUxPN2RRTXhqYk9mb1NzMzk2bHg2SXItSWVNaEpGeE9ZZ3F2dnpDdFZRM0tKNkxSOGhCeHpKVHFzLTZ6QzVvNC1KQ2gwdDZwdWlldDZ2QjRWMkN2VXBNYllvd2pkaDZyVWxvS3pRWGhNclNJY0RaMzB1Wlk1VTRfMTdXcEgyQzdpSWtWZWJYXzVZbzBTNVhjY045eGNvcXNGS3oySHc0NmVmMUNnSHRFZEFjT1p0MmVadUwzRnc?oc=5&hl=en-US&gl=US&ceid=US:en,Extensão,Institucional / Governamental,Alagoinhas
2021-12-16,Nossa cidade,Prefeitura de Teixeira de Freitas,https://news.google.com/rss/articles/CBMiY0FVX3lxTE13OGw2Z2NoaW96d0xkdGYwZDJwSU50TjJXTk12cnNPbHdES21hWEJHb2JCMW1uVnAxc0JnTjBVSG92V0V4azNDZHA0S1Jzbzc0U1A5LTZ4SGR0SEdiaEpCYXRPaw?oc=5&hl=en-US&gl=US&ceid=US:en,Institucional,Institucional / Governamental,Teixeira de Freitas
